Code,HDI,HDI Target,Freedom,Population,GDP per Capita,Trade Freedom,Business Freedom,Tax Burden % of GDP,Gov Expenditure % of GDP
AFG,0.498,0,51.3,33.4,1918.6,66.0,53.0,5.0,26.3
ALB,0.785,1,64.5,2.9,11840.2,87.8,69.1,27.2,30.1
DZA,0.754,1,44.7,40.8,15026.5,63.5,68.1,29.1,42.5
AGO,0.581,0,48.6,27.4,6844.4,59.5,58.3,24.0,32.1
ARG,0.825,2,52.3,43.6,20047.5,70.3,56.2,31.3,38.5
ARM,0.755,1,68.7,3.0,8621.0,80.0,78.7,21.3,25.8
AUS,0.939,2,80.9,24.3,48899.1,86.2,89.1,27.8,36.0
AUT,0.908,2,71.8,8.7,48004.7,86.9,75.5,43.5,51.8
AZE,0.757,1,64.3,9.5,17438.6,74.6,72.3,15.0,36.8
BHR,0.846,2,67.7,1.3,50704.1,83.4,75.5,5.6,33.4
BGD,0.608,0,55.1,161.5,3890.6,61.2,52.1,8.8,13.9
BRB,0.8,2,57.0,0.3,17100.2,62.2,70.5,27.3,45.0
BLR,0.808,2,58.1,9.5,17999.7,81.4,74.1,23.0,41.7
BEL,0.916,2,67.5,11.3,45046.9,86.9,80.6,44.8,54.1
BLZ,0.708,1,57.1,0.4,8219.9,64.9,62.9,27.3,33.9
BEN,0.515,0,56.7,11.1,2119.4,55.6,60.7,18.3,21.9
BTN,0.612,0,61.8,0.8,8227.4,74.4,72.5,13.1,30.5
BIH,0.768,1,61.4,3.9,10957.5,87.8,49.3,38.1,44.1
BWA,0.717,1,69.9,2.2,17041.6,83.9,69.5,35.8,34.9
BRA,0.759,1,51.4,206.1,15241.7,68.5,58.6,32.0,40.5
BRN,0.853,2,64.2,0.4,76884.0,89.1,79.9,33.1,37.5
BGR,0.813,2,68.3,7.1,20326.7,86.9,64.3,26.7,36.3
BFA,0.423,0,60.0,18.4,1782.2,65.8,51.5,20.6,23.3
BDI,0.417,0,50.9,9.6,813.7,69.2,53.0,21.2,26.7
CPV,0.654,0,60.0,0.5,6662.0,68.2,64.6,27.4,30.8
KHM,0.582,0,58.7,15.8,3736.9,80.3,30.6,15.0,21.2
CMR,0.556,0,51.9,23.7,3248.8,53.4,44.0,17.8,21.6
CAN,0.926,2,77.7,36.2,46437.2,88.1,81.8,31.9,39.9
CAF,0.367,0,49.2,4.9,651.9,57.2,27.2,11.8,13.4
TCD,0.404,0,49.3,11.9,2445.2,52.2,29.4,12.7,17.7
CHL,0.843,2,75.2,18.2,24112.9,88.7,72.4,18.8,25.0
CHN,0.752,1,57.8,1382.7,15398.6,73.2,54.9,17.5,30.7
COL,0.747,1,68.9,48.7,14130.2,81.6,78.6,16.1,29.2
COM,0.503,0,56.2,0.8,1529.2,74.9,57.5,25.1,27.2
CRI,0.794,1,65.6,4.9,16435.8,84.7,68.3,23.4,19.3
HRV,0.831,2,61.0,4.2,22795.3,87.4,58.9,37.4,47.4
CUB,0.777,1,31.9,11.5,12390.0,64.7,20.0,41.2,62.4
CYP,0.869,2,67.8,0.8,34970.3,86.9,77.0,33.2,39.6
DNK,0.929,2,76.6,5.7,47985.4,86.9,92.5,46.6,54.6
DJI,0.476,0,45.1,1.0,3369.6,54.9,51.7,38.7,49.3
DMA,0.715,1,64.5,0.1,11374.6,62.6,71.7,24.1,34.2
DOM,0.736,1,61.6,10.1,16049.5,72.4,53.2,13.7,17.7
ECU,0.752,1,48.5,16.5,11108.6,68.8,55.6,18.8,39.8
SLV,0.674,0,63.2,6.1,8909.4,86.4,58.2,17.5,21.3
GNQ,0.591,0,42.0,0.8,38639.1,53.8,45.6,24.3,36.1
ERI,0.44,0,41.7,6.5,1410.3,69.2,56.7,14.4,28.5
EST,0.871,2,78.8,1.3,29312.9,86.9,75.6,33.6,39.8
ETH,0.463,0,52.8,91.2,1945.9,60.7,40.2,15.1,17.7
FJI,0.741,1,62.0,0.9,9268.1,68.8,62.8,24.8,32.6
FIN,0.92,2,74.1,5.5,42164.6,86.9,89.9,44.0,57.1
FRA,0.901,2,63.9,64.6,42314.0,81.9,80.2,45.5,57.0
GAB,0.702,1,58.0,1.9,19056.5,60.9,49.3,21.2,22.6
GEO,0.78,1,76.2,3.7,10043.8,89.4,86.9,25.9,29.8
DEU,0.936,2,74.2,82.7,48110.8,86.9,86.1,36.9,44.2
GHA,0.592,0,56.0,27.6,4411.9,65.1,59.5,20.1,26.5
GRC,0.87,2,57.3,10.9,26669.1,81.9,74.4,36.8,51.3
GTM,0.65,0,63.4,16.7,7899.2,87.2,57.3,12.7,12.5
GIN,0.459,0,52.2,12.7,1264.5,61.2,54.1,24.1,25.4
GNB,0.455,0,56.9,1.7,1729.9,65.2,47.8,18.4,21.9
GUY,0.654,0,58.7,0.8,7872.9,71.5,60.3,21.3,31.2
HTI,0.498,0,55.8,10.8,1784.1,71.9,48.3,13.7,21.9
HND,0.617,0,60.6,8.2,5271.5,84.4,58.5,21.6,27.9
HUN,0.838,2,66.7,9.8,27481.8,86.9,61.8,39.4,48.5
ISL,0.935,2,77.0,0.3,49135.6,88.5,89.5,37.1,43.1
IND,0.64,0,54.5,1309.3,6615.8,72.4,56.4,7.2,27.3
IDN,0.694,0,64.2,258.7,11720.3,80.5,57.3,10.4,17.6
IRL,0.938,2,80.4,4.7,69230.8,86.9,81.8,23.6,31.9
ISR,0.903,2,72.2,8.5,35178.7,85.5,71.8,31.4,40.1
ITA,0.88,2,62.5,60.7,36833.1,86.9,70.3,43.3,50.3
JAM,0.732,1,69.1,2.8,8975.7,70.8,78.7,27.3,27.6
JPN,0.909,2,72.3,126.9,41274.6,82.3,81.7,32.0,39.1
JOR,0.735,1,64.9,7.0,12278.2,82.0,63.0,13.0,32.0
KAZ,0.8,2,69.1,17.9,25144.9,75.6,74.3,15.6,22.2
KEN,0.59,0,54.7,45.5,3361.0,69.8,55.5,18.7,27.4
KIR,0.612,0,50.8,0.1,1823.3,58.2,53.1,17.5,117.6
KWT,0.803,2,62.2,4.2,71887.3,79.1,57.2,1.4,51.5
LVA,0.847,2,73.6,2.0,25709.8,86.9,80.1,29.0,37.0
LBN,0.757,1,53.2,4.6,18524.6,84.5,48.8,13.5,26.9
LSO,0.52,0,53.9,1.9,3601.4,68.5,52.9,59.6,50.4
LBR,0.435,0,50.9,4.4,855.1,72.8,53.1,31.7,36.8
LTU,0.858,2,75.3,2.9,29972.3,86.9,73.4,30.1,34.7
LUX,0.904,2,76.4,0.6,104003.3,86.9,69.2,37.0,41.4
MDG,0.519,0,56.8,24.9,1504.7,78.0,45.6,13.0,15.4
MWI,0.477,0,52.0,18.6,1134.5,71.5,47.7,22.5,31.3
MYS,0.802,2,74.5,31.7,27266.7,87.4,83.9,13.8,24.9
MDV,0.717,1,51.1,0.4,15553.0,48.4,78.6,23.9,42.6
MLI,0.427,0,57.6,16.8,2266.0,68.7,52.8,19.0,22.2
MLT,0.878,2,68.5,0.4,39833.8,86.9,64.0,32.8,40.4
MRT,0.52,0,54.0,3.8,4328.0,61.5,64.2,29.7,30.1
MUS,0.79,1,75.1,1.3,20421.6,88.7,77.5,21.2,25.4
MEX,0.774,1,64.8,122.3,18938.3,88.0,67.5,17.4,27.0
MNG,0.741,1,55.7,3.0,12274.9,75.9,67.0,20.9,37.8
MNE,0.814,2,64.3,0.6,16643.2,84.7,72.9,36.3,46.3
MAR,0.667,0,61.9,33.8,8330.4,79.4,69.6,24.6,31.4
MOZ,0.437,0,46.3,28.8,1215.3,76.7,58.0,29.8,36.2
NAM,0.647,0,58.5,2.3,11289.7,83.3,67.5,34.3,40.7
NPL,0.574,0,54.1,28.9,2478.9,66.6,64.6,18.3,20.3
NLD,0.931,2,76.2,17.0,51049.0,86.9,80.5,37.8,45.0
NZL,0.917,2,84.2,4.7,37294.0,87.4,91.5,32.8,41.0
NIC,0.658,0,58.9,6.2,5451.7,81.0,60.2,22.0,25.8
NER,0.354,0,49.5,18.2,1107.2,61.5,45.5,23.4,30.1
NGA,0.532,0,58.5,183.6,5942.4,65.5,49.3,9.0,11.0
NOR,0.953,2,74.3,5.3,69249.5,87.9,90.4,38.1,48.6
OMN,0.821,2,61.0,4.0,46698.0,86.2,76.3,8.5,50.0
PAK,0.562,0,54.4,193.6,5105.6,65.9,55.3,12.6,19.8
PAN,0.789,1,67.0,4.0,23023.9,77.8,74.4,15.8,23.1
PNG,0.544,0,55.7,7.9,3541.0,85.9,60.6,15.1,24.5
PRY,0.702,1,62.1,6.9,9396.0,76.1,62.2,13.8,24.4
PER,0.75,1,68.7,31.5,12903.1,87.1,69.2,15.9,21.9
PHL,0.699,0,65.0,104.2,7728.1,80.7,62.6,13.7,18.9
POL,0.865,2,68.5,38.0,27764.3,86.9,67.2,32.1,41.7
PRT,0.847,2,63.4,10.3,28933.3,86.9,83.2,34.5,48.4
QAT,0.856,2,72.6,2.6,127659.6,83.3,71.3,6.4,36.4
ROU,0.811,2,69.4,19.8,22347.9,86.9,65.2,27.5,33.2
RUS,0.816,2,58.2,143.4,26489.8,79.4,77.0,29.2,35.3
RWA,0.524,0,69.1,11.5,1976.8,70.7,55.0,25.0,27.2
WSM,0.713,1,61.5,0.2,5553.4,70.2,77.0,23.6,38.7
SAU,0.853,2,59.6,31.7,55158.2,78.2,74.0,8.7,40.0
SEN,0.505,0,55.7,15.4,2576.6,66.7,51.5,25.5,30.2
SRB,0.787,1,62.5,7.0,14493.1,87.4,68.3,34.6,44.5
SYC,0.797,1,61.6,0.1,27602.2,86.7,63.4,36.7,35.1
SLE,0.419,0,51.8,6.4,1671.6,69.4,51.3,14.5,18.4
SGP,0.932,2,88.8,5.6,87855.4,90.0,90.9,13.6,17.7
SVN,0.896,2,64.8,2.1,32084.9,86.9,79.5,36.6,47.9
SLB,0.546,0,57.5,0.6,1972.6,74.7,68.9,30.8,46.3
ZAF,0.699,0,63.0,55.9,13225.4,71.6,65.1,30.6,32.6
ESP,0.891,2,65.1,46.3,36416.0,86.9,66.3,33.8,43.7
LKA,0.77,1,57.8,21.3,12262.3,74.5,76.2,12.1,18.9
SDN,0.502,0,49.4,39.6,4446.8,56.1,52.3,9.0,12.5
SUR,0.72,1,48.1,0.6,13988.2,74.8,48.3,11.1,28.1
SWE,0.933,2,76.3,10.0,49836.2,86.9,89.3,43.3,50.6
CHE,0.944,2,81.7,8.3,59560.7,90.0,75.7,27.9,34.0
TJK,0.65,0,58.3,8.7,3007.6,70.6,63.4,20.6,30.9
THA,0.755,1,67.1,69.0,16887.6,83.1,77.2,15.7,22.0
TLS,0.625,0,48.1,1.2,4186.6,80.0,66.9,8.0,48.0
TGO,0.503,0,47.8,7.5,1550.3,67.2,49.7,28.5,29.8
TON,0.726,1,63.1,0.1,5386.5,78.6,75.5,20.8,32.3
TTO,0.784,1,57.7,1.4,31870.3,73.5,68.3,20.0,39.0
