Freedom,GDP per Capita,Trade Freedom,HDI Target
51.3,1918.6,66.0,0
64.5,11840.2,87.8,0
44.7,15026.5,63.5,0
48.6,6844.4,59.5,0
52.3,20047.5,70.3,1
68.7,8621.0,80.0,0
80.9,48899.1,86.2,1
71.8,48004.7,86.9,1
64.3,17438.6,74.6,0
67.7,50704.1,83.4,1
55.1,3890.6,61.2,0
57.0,17100.2,62.2,1
58.1,17999.7,81.4,1
67.5,45046.9,86.9,1
57.1,8219.9,64.9,0
56.7,2119.4,55.6,0
61.8,8227.4,74.4,0
61.4,10957.5,87.8,0
69.9,17041.6,83.9,0
51.4,15241.7,68.5,0
64.2,76884.0,89.1,1
68.3,20326.7,86.9,1
60.0,1782.2,65.8,0
50.9,813.7,69.2,0
60.0,6662.0,68.2,0
58.7,3736.9,80.3,0
51.9,3248.8,53.4,0
77.7,46437.2,88.1,1
49.2,651.9,57.2,0
49.3,2445.2,52.2,0
75.2,24112.9,88.7,1
57.8,15398.6,73.2,0
68.9,14130.2,81.6,0
56.2,1529.2,74.9,0
65.6,16435.8,84.7,0
61.0,22795.3,87.4,1
31.9,12390.0,64.7,0
67.8,34970.3,86.9,1
76.6,47985.4,86.9,1
45.1,3369.6,54.9,0
64.5,11374.6,62.6,0
61.6,16049.5,72.4,0
48.5,11108.6,68.8,0
63.2,8909.4,86.4,0
42.0,38639.1,53.8,0
41.7,1410.3,69.2,0
78.8,29312.9,86.9,1
52.8,1945.9,60.7,0
62.0,9268.1,68.8,0
74.1,42164.6,86.9,1
63.9,42314.0,81.9,1
58.0,19056.5,60.9,0
76.2,10043.8,89.4,0
74.2,48110.8,86.9,1
56.0,4411.9,65.1,0
57.3,26669.1,81.9,1
63.4,7899.2,87.2,0
52.2,1264.5,61.2,0
56.9,1729.9,65.2,0
58.7,7872.9,71.5,0
55.8,1784.1,71.9,0
60.6,5271.5,84.4,0
66.7,27481.8,86.9,1
77.0,49135.6,88.5,1
54.5,6615.8,72.4,0
64.2,11720.3,80.5,0
80.4,69230.8,86.9,1
72.2,35178.7,85.5,1
62.5,36833.1,86.9,1
69.1,8975.7,70.8,0
72.3,41274.6,82.3,1
64.9,12278.2,82.0,0
69.1,25144.9,75.6,1
54.7,3361.0,69.8,0
50.8,1823.3,58.2,0
62.2,71887.3,79.1,1
73.6,25709.8,86.9,1
53.2,18524.6,84.5,0
53.9,3601.4,68.5,0
50.9,855.1,72.8,0
75.3,29972.3,86.9,1
76.4,104003.3,86.9,1
56.8,1504.7,78.0,0
52.0,1134.5,71.5,0
74.5,27266.7,87.4,1
51.1,15553.0,48.4,0
57.6,2266.0,68.7,0
68.5,39833.8,86.9,1
54.0,4328.0,61.5,0
75.1,20421.6,88.7,0
64.8,18938.3,88.0,0
55.7,12274.9,75.9,0
64.3,16643.2,84.7,1
61.9,8330.4,79.4,0
46.3,1215.3,76.7,0
58.5,11289.7,83.3,0
54.1,2478.9,66.6,0
76.2,51049.0,86.9,1
84.2,37294.0,87.4,1
58.9,5451.7,81.0,0
49.5,1107.2,61.5,0
58.5,5942.4,65.5,0
74.3,69249.5,87.9,1
61.0,46698.0,86.2,1
54.4,5105.6,65.9,0
67.0,23023.9,77.8,0
55.7,3541.0,85.9,0
62.1,9396.0,76.1,0
68.7,12903.1,87.1,0
65.0,7728.1,80.7,0
68.5,27764.3,86.9,1
63.4,28933.3,86.9,1
72.6,127659.6,83.3,1
69.4,22347.9,86.9,1
58.2,26489.8,79.4,1
69.1,1976.8,70.7,0
61.5,5553.4,70.2,0
59.6,55158.2,78.2,1
55.7,2576.6,66.7,0
62.5,14493.1,87.4,0
61.6,27602.2,86.7,0
51.8,1671.6,69.4,0
88.8,87855.4,90.0,1
64.8,32084.9,86.9,1
57.5,1972.6,74.7,0
63.0,13225.4,71.6,0
65.1,36416.0,86.9,1
57.8,12262.3,74.5,0
49.4,4446.8,56.1,0
48.1,13988.2,74.8,0
76.3,49836.2,86.9,1
81.7,59560.7,90.0,1
58.3,3007.6,70.6,0
67.1,16887.6,83.1,0
48.1,4186.6,80.0,0
47.8,1550.3,67.2,0
63.1,5386.5,78.6,0
57.7,31870.3,73.5,0
58.9,11634.1,82.1,0
65.4,24911.8,78.6,0
47.1,17485.2,80.0,0
62.0,2068.2,78.1,0
51.9,8305.1,81.1,0
77.6,67870.8,84.3,1
78.0,42480.7,86.9,1
75.7,57436.4,86.7,1
69.2,21527.3,80.4,1
51.5,6562.6,62.5,0
69.5,2631.4,75.0,0
54.3,3880.3,78.3,0
44.0,1970.3,69.1,0
